comment_yt
"Kalo rakyat kompak siapapun anggota dari institusi pemerintahan yg korupsi kita harus bertindak seperti ini,, ruma dan harta2 nya di hancurkan begini,,"
❤❤❤❤❤ mantap
Ahmad Syahroni = amit amit jabang bayi.
"Alhamdulillah tamunya Satroni buanyak bersilsturohmi dgn Satroni, tapi sayang Pemilik tak ada di rumah."
Waduuhhhh. Indonesia kok seperti Nepal Ya??  Tahanlah diri masing2.
Memalukan jd manusia
Intinya ada asap ada api
Ikut hukum dunia mmg xde hk As biar pun bata sebiji sbb dia mkn Korupsi
iki jenenge pengadilan rakyat sangat adil kanggo nggecek bandit² dpr
"Padahal ada lagi tuh mobil mewah lebih dari 10 mobil gak jauh dari rumahnya masih satu gang,,lihat di kontennya raffi."
"Ulahnya DPR ALLAH SWT murka...
Aib Keluarga terbongkar 
Diperlihatkan Majikan , Tikus²ngumpit"
kenapa rumah oknum dpr yang memviralkan hitungan nilai gaji dpr gak dijarah ya ?  padahal oknum itu yg bikin kemarahan rakyat
coba sekali lagi berani ngatain tolol😂
Inilah pesta rakyat yg sesungguhnya
"demo....? Masa gitu...
Miris....memprihatinkan..."
dpr babi
Jangan biarkan sahroni hidup di indonesia
Alhmdulilhh
MUKA² TUKAN PENCURI SEMUA
"7 mobil mewah sdh dipindahkan

Beli mobil mewah  tanpa bayar pajak , kenal an hebat

Negara kurang uang peras rakyat"
"Maling pasar.
Maling rumahan .
Maling kebon.
Maling besi,.copet..jamret dll
Tanpa disadari mereka bertemu dlm forom aksi demo😂Ini kh yg dinamakan Maling teriak maling😂"
Mantapppp
Indonesia warganya miskin makanya
"Siap² anggota DPR yg bnyak cete,,,ni gini kondisi nya😂"
Alhamdulillah ya Allah trimakasih
Syabas TAHNIAH bangsa Indonesia wajib di ajar pemerintah zalim KAYAKAN DIRI menjarah harta negara milik rakyat
