komen_tt
woilah temen gw berenang disitu😹😹
uya kuya kapan🗿
"""woy ini mahal anj"" 😭😭"
"Jangan lupa Eko Patrio, Uya Kuya, Nafa Ubach,"
Reaksi Syahroni pulang kaget jadi gelandang
yg ambil ironman KEREN ANJIR ITU MAHAL BANGETTTT
lumayan
barang² mahal semua jir
plis bgt jgn dibakar krna banyan rmh warga😭😭
Tapi rumah dia banyak deh keknya
rumah puan rumah puannn
klo kaya gini setiap ada wakil rakyat ya nantang rakyatnya kayanya g akan ada lagi deh yg berani.
kalok kayak gini semua. anggota dewan pasti ketar ketir
"kalau ini baru benar,jangan lampiasin ke aparat"
mantap
EH INI BENER DIRMH SI SAHRONI? DEMI ALLAH MAKASI BGTTTT❤️❤️
uya kuya keringet dingin nih pasti😹
DEMI UNGER PUAS BNGTTT 😭😭
"next, uya kuya dan eko patrio"
UDAH DEH KALI INI GW SETUJU BANGETTTTT!! 😭🔥
tinggal sri mulyani belum
"Mangat woy, masih ada 18 lagi wkw"
reaksi Sahroni pas pulang:🙀🙀🙀😱
"fyp gue demo semua bg,ilang yang tobrut tobrut 😭"
😭
better gini ga si daripada nunggu sidang pengadilan yg hukuman nya ga jelas itu😭
"gak bisa gak bisa,masa cuma dpat yg ini😭😭😭"
"please jangan anarki, tujuan utama gedung DPR , kenapa jadi nyerang per orang an 😭😭😭"
"nah ini baru bener, bukan nya malah bakar fasilitas umum😭"
Uya kuya. Eko sm nafa urbach ketar ketir pasti
"rumah sri, rumah eko, rumah iya kuya, rumah nafa urbach"
ag takut kalian kena pasal 😭😭 ag sbnrnya pengenya jg begini jd ag sbnrnya jg bahagia tpi ag jg takut..takut kalian para pejuang keadilan kena pasal dr manusia2 jahat😭
"gaada yang sampe ke kamarnya? pasti ada tas² mahal, perhiasan atau apapun??"
tinggl sri mulyani ya kawan²
Harga patung ironman kabarin kalo biru
"nah gini maksudnya,bukan fasilitas umum 😭"
indonesiaa kuu🥺🥺🥺
kerennnn
gua disitu kga boleh ngambil lukisan di dinding jir😹
itu beneran rumahnya? semoga beneran aamiin😭🙏🏻
next Uya Kuya sama eko
bahkan iron man pun tidak berdaya dihadapan para massa
"yang bawa ironman keren banget anjir, tau tauan dia barang mahal wkwk"
reques rumah eko patrio 🙏🏻 soalnya rumahnya kaya bgt njirrr
"habis ini nafa urbah,puan maharani,eko dan uya kuya yah,pasti mereka ngakk bisa tidur🤣🤣"
kekuasaan di tangan rakyat
"plisss seru banget ngeliatinnya,next siapa lagi gaes😭🙏"
puasss banget liatt nya sumpahh kek seneng gituh jirrr
"lucu banget lagi pas ironmen nya di bawa ""woy ini mhl anj"" 🤣🤣🤣🤣🤣"
"next uya Kuya,dh follow"
"benar kata pak ahok, salah DPR/ pemerintah/ oknum DPR karna tdk merangkul dan mempersilahkan demonstran masuk, lalu dicarikan solusi terkait dng polemik yg ada"
Apakah setelah redam bakal dicari org org yg jarah ini ? Soalnya Ade gua pernah ikut jarah waktu demo omnibluslow dan yapss selang berapa bulan setelah demo ade gua ketangkap dan dipenjara selama 1.5thn
"lanjut rumah eko patria, udah follow kak"
yg ambil iron man mahal bzirrrr itu coo😭🙏🏻
kira2 mimpi apa tu iron man semalem 🤣😂😅🤣🤣🤣
"KEPADA YANG MULIA AHMAD SAHRONI, PULANGLAH! KAMI MENUNGGUMU😇🤩"
"Sahroni shock dia ...
harusnya jgn begini , tp mau ngomong apa .. orang2 udh pada stress marahnya sampe ky gini"
iron man nya jir😭😭
tebak reaksi tetangga sahroni🥴
yang pokok masalahnya rumah si puan matahari 😭
"Eko, Uya Kuya dan Nafa Urbach, pasti lagi ketar ketir nih."
Uya kuya. Eko sm nafa urbach ketar ketir pasti
woi ini mahal ang😭😭😭😭
Rumah sri mulyani lah lagi
cari tau lgi rumahnya takutnya ga cuma 1 doang rumah dia
"sekarang sri mulyani kak, udah follow"
req uya kuya ges
naahh ini baru bener😂😂
"di tunggu flog di rumah Uya Kuya nya ya saya doakan sehat selalu dan panjang umur untuk Kaka"" yang telah bela sungkawa kepada masyarakat mohon maaf saya belum bisa ikut demo karena gak ada temennya 🤲🙏"
bahagia bngat sumpahhh
"nah kalo gini gpp, karna tertuju pada pusat
yg penting jgn fasilitas umum ya gais🥰💋
saling jaga dan saling bela kalian yaa, semangattt❤"
perampasan aset di sah kan rakyat🤣🤣🤣
Gak pernah sebahagia ini liat tiktok 😂
"nah ini baru ke inti nya langsung. ga merusak fasilitas umum, ga ngebahayain masyarakat lain, definisi merebut pajak kita dengan benar."
rumah puan rumah puan😭
ada yang sempet berenang jirr😭😭😭
yg krudung merah kapan 🗿
next uya kuya dan eko patrio 🙏🏻
uya sama eko juga
bagus juga rumah nya sahroni.
"cisss untuk yg demo, tetap semangat. uni bakwan titip salam sama sahroni"
"sri mulyani,eko patrio,uya kuya sm nafa urbach selanjutnya..
terima kasih sudah mewakili rakyat indonesia,😁"
aduh duh duh Sahroni ketar ketir euy pasti
"Sabar ya sahroni, namanya harta titipan dari rakyat kembali ke rakyat😁"
Kapan ke rumah Uya Kuya...🤔
"habis dari sahroni Lanjut min ke rumah puan terus beLok ke rumah sri muLyani , Lurus dikit ke rumah eko patrio . menyaLa endonesa emas !!!"
pas pulang dri luar negri ahmad sahroni dpt surpise....😂
"luas mbanget rumahnya.
sahroni lg mantau dari luar."
sahroni balik dari singapore ‘pusingnya oi’
Tinggal 3 org lagi selain sahroni
"jangan di bakar yah temen""kasian yang di Deket rumah Sahroni takut kena imbasnya"
ternyata ironman disekap dirumah sahroni selama ini😁
enak bngt idup lu sahronii
uya kuya sama puan jangan lupa😂
"ada 3 lagi yg lagi makan di balkon atas,itu paling nantang sih menurutku"
kerennnn bgt warga indo njir kalo gini abis ini semua jelas dpr lari semuaa🤣🤣🤣
"Keren..tapi hati2 kak harus tepat sasaran rumah yg harus kaya gini, yg dpr-nya baik kasian jg"
Nah kalo ini setuju bgt bukan fasilitas umum yg dihancurkan puas bgt liatnya
next kemana guys?
"NGERIII BANGETT CUYY, tapi aku sukaa kalian luar biasaaa kawan kawannn😭😭😭"
"klo sya setuju sih, gimna mas Anang?😃"
"nah ini baru patenn, gue dukung kalian"
uya Kuya Eko Patrio kapan
akhirnya RUU prmpasan aset sdh di sahkan sendiri oleh rakyat
"harus nya Kaya gini, jangan yg di rusak fasilitas umum."
bantu up gyss
Uyaa kuyaa kapan boyyy
jangan lupa uya & eko
lanjut Sri mulyani
"kalau mereka di laporkan , semua masyarakat harus demo lg .
kita kawal sama2 demi Indonesia maju"
"kasi paham anggota DPR, mau lanjut jdi petugas partai apa petugas rakyat.
kl cma protes lewat mulut g akan di dengar, karena setuli itu anggota dewan di Indonesia."
keren bgtt jiirrr 😭😭😭😭😭 ga expect
oh no patung ironman😭
nahhh kalo kayak gini gw dukung
lebih baik dijual daripada rusak😭
sahroninya lgi ke singapur katanya
Tag uya kuya sma eko
Negara sesibuk ini aku masih mikirin lakilaki 😭
mendukung sih kalo ini🤙🏻
MANTEPPP BETTTT💯💯💯
Di Singapura lagi mikir itu dia baliknya gmna harus beres2 beli ulang parabot😭
dari tadi pagi gua berpikir ini anjay terlaksana😭😭😭🫡🫡🫡🫡
mantapp
lumayan tuh pulang dapet TV leptop kulkas dll
kaget itu ada bocil sempet2nya berenang😳
Ini baru bener
Nunggu kuya eko nafa dkk
nah ini maksud ku yg demo di Pekalongan mending langsung ke sini bukan malah ngerusak fasum 😭
mantap
"ahh mantap bangttt, makasiii kakak kakak❤"
seru bgttt
woiiii kayanya seru tuh gua ga diajak🗿
saatnya pengadilan rakyat💪
"""wee ini mahal anj""😭😭"
garasi motor mewah nya gk jauh dari situ😁
Langsung ke pusat 😅
request sri mulyani kakak
warr isi rumah Syahroni woyy🤣🤣
Biar rakyat yg bekerja😉
Kasian artnya yg jga rumah gatau apa2🤣
nahh klo kaya gini saya sangat suka suka🔥🔥
naaaaaah ini baru mantap
ini demo yang bener
NAHH GITUUUUU
next uya kuya🗿
Sehat sehat wargaaaa 😭 kalian keren😭
"Nah ini yang bener, bukan ngerusak fasilitas umum"
mantap bgt😭
MAAANTAAAAAAAAAPPPPPPPP
"ayo next iya kuya, eko, sri mulyani"
penting nya wakil rakyat berkata kata bijak soalnya kalo nantangin rakyat jadi gini deh
ciss🫰😘
