komen_ig
🔥🔥🔥🔥 Alhamdulillah
🔥😂🔥
gassskannnn 🔥🔥🔥
"Nah ini baru mantap.,semangat rakyatku 🇮🇩💪🤲"
Next deddy Sitorus
"Serem yaa kalau masa sudah tak terkendali 😢,"
MASUK PA EKO 😂
Ya Allah semoga besok ga ada darurat militer 😢
Apakah praktek simulasi RUU perampasan aset? 😮
Ini diaaa
Pelajaran yang hebat untuk orang-orang yang sombong 🔥
"Menyala rakyat indonesia, tunjukan kekuatan kalian, THE POWER OF PEOPLE"
Fishy banget. Terorganisir ini sih. All seat. All deal.  Harap jangan kepancing. Sayangi nyawa kalian.
Alhamdulillah... akhirnya UUD perampasan aset langsung dipraktekkan rakyat.... lanjutkan!!!
Eko teh sok inget si Toing... Kaya eko patrio ceunah  😂
🔥🔥🔥🔥 Alhamdulillah
🔥😂🔥
gassskannnn 🔥🔥🔥
"Nah ini baru mantap.,semangat rakyatku 🇮🇩💪🤲"
Next deddy Sitorus
"Serem yaa kalau masa sudah tak terkendali 😢,"
MASUK PA EKO 😂
Ya Allah semoga besok ga ada darurat militer 😢
Apakah praktek simulasi RUU perampasan aset? 😮
Ini diaaa
Pelajaran yang hebat untuk orang-orang yang sombong 🔥
"Menyala rakyat indonesia, tunjukan kekuatan kalian, THE POWER OF PEOPLE"
Fishy banget. Terorganisir ini sih. All seat. All deal.  Harap jangan kepancing. Sayangi nyawa kalian.
Alhamdulillah... akhirnya UUD perampasan aset langsung dipraktekkan rakyat.... lanjutkan!!!
Eko teh sok inget si Toing... Kaya eko patrio ceunah  😂
Mulutmu harimau mu
Percaya massa? Atau emang manusia yg di setting datang sesuai timeline? Mass iya sekelas mereka ga ada di rumah semua
"mohon izin rekan rekan demonstrasi, kita sudahi demo ini, JANGAN SAMPAI KITA MENGHADAPI KRISIS KEMBALI SEPERTI TAHUN 98, kita STOP dulu demi masyarakat, mari kita lihat respon pemerintah, kita kasih kesempatan untuk mereka berbenah, jika masih tidak sadar silahkan kita demo KEMBALII!!!! TOLONG SHARE INI KE SOSMED AGAR PERUBAHAN SEGERA KITA DAPAT"
"😍 Dari RAKYAT, oleh RAKYAT, untuk RAKYAT 😍😍"
"Baru kmrn ,ngebatin (ngomong dalem hati) hbs lihat yg jarah kwitang. Ku pikir, demo ke DPR pada WFH, malah berantem sesama warga, dapatnya cuma adu gas air mata, fasum rusak, toko2 yg ga tau apa2 celaka. Sedangkan yg di demo enak2 WFH, knp ga demo ke rumah²nya anggota aja, yang jaga ga banyak, bisa ketemu langsung.  Kalo tetep ke DPR , cuma dapat capek dan rusak jadinya semua fasum dr uang pajak. Kalo demo ke rumah anggota langsung bisa lebih efektif. Eh, bangun tidur sdh lihat berita2 yg silaturahim langsung k rumah² penguasa ini. Tapi ga espect sampai di jarah juga. Meskipun dalam hati lagi, lebih ihlas mereka yg disita asetnya langsung, dr pada menjarah toko² warga minoritas 😢"
Sampei habis jangana sisakan
"Kalau presiden dan kpk tidak cepat mengambil langkah bisa jadi kemungkinan rumah pejabat pejabat yg terindikasi korupsi dijarah juga, segera KPK tangkap dan umumkan pejabat dan menteri menteri yg terindikasi korupsi kolusi nepotisme pencucian uang dan judi online rezim jkw jangan tertlambat mengambil langkah untuk meredam aksi masa"
Ini akibatnya klo nantangin rakyat. Joget2 karna naik gaji. Bahagia di atas penderitaan rakyat.
"Ini cara efektif untuk menjatuhkan mental pejabat, luar biasa 🔥🔥🔥"
EKSEKUSI REAL UU PERAMPASAN ASET... MILIH MENGESAHKAN ATAU DIAMBIL LANGSUNG... GMN KABAR YG KORUPSI 400T... 🇮🇩🇮🇩🇮🇩
MMMAAANNTTTAAAPPP  LLLAAAAAAAHHHHH
puya puan dan bahlil kpn
"Rumah sri mulyani dn puan maharani pasti lbih mantapp.. Jgn cuma rmh eko,iya..eluruh rmh anggota DPR smua jga.. Biar adil..."
Derita Rakyat Negeri Ini:• Dipalakin oleh Sri Mulyani• Ditololin oleh Ahmad Sahroni• Digilas oleh Polisi• Dijogetin oleh Eko Patrio & Uya KuyaLengkap sudah penderitaannya…
"liat nih  JAGA BACOT LU!!! JGN MAEN2 SAMA MAHASISWA APALAGI RAKYAT !!! UDH LU ANTENG AJE DI TMPT LO YG SEHARUSNYA,JGN SOK IYE LU BOCIL CRYPTO"
"Anarkis yaaaaa, semoga ini bisa dijadikn pelajaran utk semua Pejabat kalau MulutMu HarimauMu"
Klo udah jarah2 gini  ini bukan yg di dukung ah tkut ikut dosa
Hasil jerih payah di dunia hiburan seketika lenyap hanya karena ketamakan di kursi wakil rakyat . 😢
"Padahal hancurin aja, gak perlu sambil ngejarah sih"
"Jangan bakar kalo imbasnya rumah warga yang lain ya rakyat Indonesia,,,"
"Uang si rekening bank masih banyak banget & barang nya diasuransikan....sebagian harta nya dititipkan ke orang tuan dan mertua nya ,,,, MISKINKAN!!!!"
Ini namanya perampasan aset persi rakyat😂😂😂
Polisinya bukannya turun malah jaga kandang
😭😭
Eko pasti di rumahnya parto nginapnya 😂
👏🔥
salah satu bentuk sangsi sosial bagi mereka yang menyakiti rakyat 🔥
Yang penting tidak merambat ke penjarahan rumah orang tidak bersalah...
╭━━━┳╮╱╭┳━━━┳━━━╮┃╭━╮┃┃╱┃┃╭━╮┃╭━╮┃┃╰━╯┃┃╱┃┃┃╱┃┃╰━━╮┃╭━━┫┃╱┃┃╰━╯┣━━╮┃┃┃╱╱┃╰━╯┃╭━╮┃╰━╯┃╰╯╱╱╰━━━┻╯╱╰┻━━━╯╭━━━╮╱╭┳━━┳━━━╮┃╭━╮┃╱┃┣┫┣┫╭━╮┃┃┃╱┃┃╱┃┃┃┃┃┃╱╰╯┃╰━╯┣╮┃┃┃┃┃┃╭━╮┃╭━╮┃╰╯┣┫┣┫╰┻━┃╰╯╱╰┻━━┻━━┻━━━╯
"Walaupun menjarah = maling = koruptor = dosa berat, mungkin ini bisa jadi perhatian buat para anggota dewan agar kerja yg becus, jangan korup, dan jangan kebanyakan ngebadut"
Mantap jarah rumah nya
Perampasan aset sesungguhnya 🔥
Proses praktek perampasan aset
"Dengan peristiwa geruduk rumah pejabat, yg rakyat mau bukan cuma minta maaf tapi mundur dari jabatan DPR !!! Biar kapok karena sudah menentang bangsa ini"
""
Rombak DPR. Ganti semuanya dengan orang orang pintar Indonesia
"Ini petugas pada kemana ya koq pada sepi gak dijaga di rmh Eko, uya.. biasanya paling sigap melindungi anggota dewan 🫣"
uu perampasan aset langsung dipraktekan
Hati2 gays nanti di hipnotis masal😂😂
"Udah pada balik aja yaaa, istirahat dulu malem ini. Sayangi nyawa kalian 🙏🏻"
"ketika rakyat gak didengar, maka UU perampasan di SAH kan oleh RAKYAT nya sendiri, Bahlil jangan lupa"
Next nafaurbach wkwk
Satu lagi bang rumah deni cagur...
Cocok ini mah..
Giliran hartanya di jarah rakyat......
Lamun Geus Darurat Militer kumaha tah ?
Mantap kawan
"Hayoo loh,.,,, ibu suktan pajak gimana bu"
Trs dia bkin video sma Pasha drmh spa gaes?
TINGGAL RUMAH RATU PUAN😂
