komen_fb
Tuntutan dalam 7 HARI KEDEPAN:
"Kalau ada pejabat yg  KORUPSI, Jangan harap lgi sama KPK,maka masyarakat datang aja kerumah nya, itu baru dil,sita ja barang2 nya"
"Para pejabat publik sering pamer harta benda, sering pamer kegiatan kegiatan, seperti ultah, syukuran syukuran, sliwar sliwer luar negeri.. .."
Drpada fasilitas umum dan pertokoan ya mending harta pejabat yg jadi sasaran penjarahan.
"Hahaha  it's hilarious, rampok dirampok"
"Mungkin caranya salah, tapi tidak ada cara lain untuk membuka mata para pejabat, kalau rakyat sudah lama bersabar dengan tingkah laku mereka. Mereka bersumpah untuk mewakili suara rakyat yang pada kenyataannya mereka mencari keuntungan pribadi. Miskinkan mereka agar tau bagaimana rasanya menjadi rakyat jelata."
Misi demo sudah melenceng. Kenapa mesti pakai bakar-bakaran? Kenapa mesti pakai penjarahan?
Ini lah akibat dpr yg korup tidak mampu mewujudkan keinginan rakyak byak.. Akhirnya yg terjadi adalah penjarahan sbge bentuk dri hukum alam pd orng yg menumpuk kekayaan hasil dri korupsi.
"the real perampasan aset versi rakyat, mungkin ini lebih efisien jika di gunakan hukuman bagi para koruptor, dari pada nunggu UU perampasan aset di sahkan, gak akan kelar², lebih baik Rakyat langsung yg bertindak..."
"Demo adalah hak setiap warga negara, tapi menormalisasi penjarahan jelas salah. Perjuangan yang berawal dari suara rakyat akan kehilangan makna atau esensi demo itu sendiri,  jika dibungkus dengan kriminalisme dalam konteks ini ""penjarahan"". Menuntut keadilan tidak bisa dibenarkan dengan merampas hak orang lain. Bukan berarti kita benar kita boleh melakukan segalanya."
Imbas kebiasaan kenaikan pajak kepada rakyat tetapi anggota dewan dan pejabat negara tidak kena pajak
"Ini bukan demo udah melenceng, mau rusuh, Bakar2 dan jarah bukan milik mereka, saya dukung Kapolri kasih tindakan tegas dan terukur untuk pendemo rusuh"
Semua demontrasi sampai penjarahan ini adalah akumulasi kemarahan rakyat terhadap DPR RI dan pemerintah pusat .
Mantaaaaaap ...  Cara Rakyat .... Perampasan aset .. Rakyat
"Polisi gagal lindungi warga/pejabat negara, kapolri gagal wajib dicopot"
"Harusnya jadi panutan, tapi merasa keren dengan tingkah nya ,mulut ga bisa di kondisikan akhirnya menyulut banyak orang, semoga setelah kejadian ini mereka jadi lebih baik kedepannya"
"JD bahan intropeksi jgn berbuat TDK adil! Kita sama2 anak negri tp rakyat selalu di anaktiri kan, kita sama2 membangun negri tp jeritan rakyat jelata  seolah tdk di dengarkan, sangat berbeda kesenjangan hidup rakyat jelata & mereka yg duduk di kursi jabatan, kalian makan beras sebulan 12jt kami kalian beri beras Bulog yg apek, berkutu dan TDK lagi ada rasa juga gizi nya. Adil kah sayang??? Sakit JD rakyat jelata andai kalian tau"
"Para orator demo berkata, ""pejabat korup maling melarampok uang negara dan rakyat.""  Eh pas ada kesempatan (seperti ada kerusuhan ) sebagian dari mereka juga maling, dan menjara milik negara dan masyarakat. Pimpinan itu cerminan rakyat. Kalau pengen perbaiki kualitas pimpinan, maka perbaiki kualitas masyarakatnya"
Undang undang perampasan aset yg disyahkan oleh Rakyat ....karena terlalu lama menunggu DPR RI untuk mengesahkan RUU tsb
"Disaat hukum tidak pernah memihak Rakyat, aparat sudah tidak membela rakyat, dan rakyat menderita krn wakil rakyat..Maka Hukum Rakyat yang bertindak !!"
"Biar tahu lah gimana rasanya di obrak Abrik seisi rumahnya ""pasti kena mental seharusnya rumah seluruh koruptor juga di obrak abrik"
"Kalo pejabat pd Korupsi , sudah betul rakyat harus menjarah , karena hukum sudah tidak tajam lagi untuk menangani para koruptor ( alias Tumpul )"
Pemerintah  terutama aparat penegak  hukum gagal  menghalangi  kasus anarkis dan penjarahan
Bubarkan DPR satu persatu....sisakan yg masih bener.
"Kl kalian menjarah itu sama aja maling lebih baik di bakar aja biar masyarakat tau , kt rakyat ndk butuh barang malingan anggota dewan  ....."
"KLO Sampek, menjarah itu sebagian kelompok kriminal yang memanfaatkan situasi saat demokrasi....beneri... cukup dihancurin GK usah dijarah,,,tapi dah sama2 merasakan sakit hati..."
Jangan di lewatkan juga yg kena korupsi gasss  ..... Jarah aja asal jgan keluarganya.... Jikalau pemerintah tidak mengesahkan RUU PERAMPASAN ASET biar RAKYAT YANG MENGESAHKAN
Hancurkan rumah2 pejabat
Gak ada guna jarah rumah
Saroni punya Ironman seolah dia yg paling kuat..hancurkan..
Ini lai su panncuri
"Pencuri berkedok demo. Sy tdk mndukung kata2 mnantang dri Syahroni, ttpi mencuri menceriminkan sikap buruk, lbih buruk dri pk sahroni"
"Semoga ke depan para pejabat publik negeri ini merekam dengan baik kejadian ini. Semoga lebih santun dan beretika serta berempati dalam semua gerak geriknya, baik mulut, gestur, maupun kebijakannya."
"Guys coba aja pas awal demo di Senayan salah satu DPR mau nemuin masa demonstran, yakin gwa gak bakal ada korban ojol, gak bakal ada penjarahan pembakaran, gak bakal polisi mengganas."
"Kalau rakyt berbuat sprti itu , jangan salahkan mereka.meski secara hukum tindakan mereka sudah melanggar hukum tp kita tengok lagi latar belakang pemicu kejadian ini.krna DPR sangat sombong dg gaji mereka yg tinggi yg justru di bayarkan dr pajak rakyat."
Dari rakyat untuk rakyat
Para pejabat yang korupsi wajib di jarah Saudaraku
Bakar rumah sri mulyani.
Ghanimah?
Rakyat sudah muak dengan dengan omongan oknum DPR yang asal2an.
Maling teriak maling
Real perampasan aset
"Kecolongan masyarakat, seharusnya mereka melakukan perampasan aset menggunakan masker atau helm untuk mengantisipasi kamera"
Bagus daripada sendiri ditahan tetapi kalau 1000 orang polisi mana yang berani mereka melawan  ingat kejadian tahun 70an makanan susah terpaksa bersatu  mengambil toko beras.
"Waktu baru balik dari USA mba-SRI MULYANI mukanya BERSIH dan jadi Menkeu yang pintar, semenjak satu kolam dengan poli-TIKUS biang MALING uang rakyat ""kenapa"" jadi BODOH & TOLOL, makhluk tanpa hati nurani."
"Jangan setengah setengah, skalian rumah si muldongo pemilik ijazah palsu biang dari semua masalah. Abisin...juga!!!"
Mantab rayat aja yg sita kalau RUU tidak bisa di selesaikan perampasan aset
Roni Stark tumbaaang
"Barang barang itu dibeli dengan uang rakyat,jadi sudah sepantasnya di jarah"
Peramokan massal  dan itu katanya halal............
Biasa itu sikon dilap.... Awal yg siapa yg bilik ulah
Alhamdulillah
Lanjutkan
"Kalau dibiarkan, maka akan merembet ke pihak lain yg bukan pejabat2. Percayalah."
Mungkin koruptor juga harus dirampas rakyat seperti ini..
Pejabat negara ridho kok
"Bahkan Toni Stark tdak bsa membela diri nya,jangan untuk membela negara"
Perampasan aset secara harfiah
Hidup rakyat
Rampasan aset oleh masarakat..??
Itu tanda nya duitnya kaga berkah
Ingat dan fokus utama: DPR harus di reformasi / dihapus sekalian
UUD perampasan Aset telah di SAH kan
Update terbaru : rumah mantan artis /aggota dpr Nafa urbach tidak luput juga dari penjarahan massal
Maling
"Apapun alasannya, para perusuh dan penjarah (mereka) menjadi sama kelakuannya dengan anggota DPR yg dinilai jahat oleh mereka."
Jika dr dulu hukuman sosial ini dibenarkan maka sy yakin seyakin yakinnya orang akan berfikir 100x utk menjadi pejabat.
"Seandainya bisa,  rumah2 si Koruptor"
Apa hanya ada d negara kita ini
"Itu bukan demo tali anarkis..yg dipertontonkan..terus mau dibilang pahlawan....mimpi x,,,...Klu kita mengkritik berilah contoh yg baik"
Masih berharap pada demokrasi?
Kpn rupa puan tdk d jarah
"Ketua DPR tak  mengesahkan perampasan aset, dia takut didalam rmhnya banyak barang haram"
Rumah nusrpn kapan
Yuk mending kita perbanyak sholawat saudaraku ..ini bulan maulid dimna harusnya kita banyak bersholawat...
Sekali kali maling negara di jarah.
"Jangan diambil buang aja di paret,itu smua duit haram."
Benar maling
"Kami atas nama rakyat indonesia dgn kerendahan hati memohon maaf yg sedalam dalam nya atas kekhilafan kami, semoga dgn adanya kejadian ini kami akan memperbaiki kesalahan kami , sekali lagi kami meminta maaf"
"Ini sudah kejahatan, apa bedanya pendemo ini dengan wakil rakyat yang pakai uang rakyat dan tidak melakukan tugasnya dengan benar, bukan lagi hati nurani yang diaspirasikan tapi melakukan penjarahan, jangan mudah terprovokasi..Indonesia cinta damai"
Bilang saja Dari rumah si sahroni
Dulu ada sesosok sunan merampok punya org kaya dibagikan ke rakyat miskin
Andai tony stark masih hidup ?
Puan gerunduk
La kapolrinya malah gak punya malu
Merdeka!!dari Rakyat kembali ke Rakyat
Memang benar kita sakit hati atas pernyataan anggota DPR tersebut tapi janganlah jadi melenceng perjuangan itu karena akan jadi sia -sia cukup lah mereka saja yang pencuri
"Ini curiganya udah dari bagian rencana mereka, dibiarkan dijarah .. aneh aja GK mungkin dong sekelas pejabat GK punya security.. apa lagi mereka2 lagi melancong... Kemungkinan ini akan jadi pembenaran para aparat untuk melakukan darurat militer, yang jelas tujuannya untuk membungkam rakyat yang sedang protes."
Tepat sasaran
"Karna aset negara susah di sahkan , itu pas , semua aset aset gak di sahkan , rakyat yng sita aset"" DPR"
Kalian menjarah rakyat melalui pajak! Sekarang kalian yang dijarah
UU perampasan aset sudah ketuk palu sama masa
Seharusnya tidak usa di jarah...lebih baik di bakar aja
